id,subject,body,label
2096,Mensagem motivacional,Parabéns a todos pelo excelente resultado obtido no último trimestre.,Improdutivo
2097,Erro no sistema,"Há um problema na emissão de notas fiscais eletrônicas, poderiam verificar?",Produtivo
2098,Reconhecimento de esforço,Reconhecemos o esforço da equipe e agradecemos pela dedicação.,Improdutivo
2099,Solicitação de suporte,Preciso confirmar se a entrega do projeto está dentro do prazo estipulado.,Produtivo
2100,Agradecimento,"Estamos organizando uma confraternização na sexta-feira, sua presença será muito bem-vinda.",Improdutivo
2101,Solicitação de suporte,"Há um problema na emissão de notas fiscais eletrônicas, poderiam verificar?",Produtivo
2102,Agradecimento,"Estamos organizando uma confraternização na sexta-feira, sua presença será muito bem-vinda.",Improdutivo
2103,Problema de acesso,"O cliente retornou com mais informações, precisamos atualizar o chamado.",Produtivo
2104,Parabéns pelo trabalho,Reconhecemos o esforço da equipe e agradecemos pela dedicação.,Improdutivo
2105,Atualização de contrato,"Há um problema na emissão de notas fiscais eletrônicas, poderiam verificar?",Produtivo
2106,Mensagem de boas-vindas,"Estamos organizando uma confraternização na sexta-feira, sua presença será muito bem-vinda.",Improdutivo
2107,Ticket pendente,"Preciso de suporte para redefinir minha senha, não consigo entrar na plataforma.",Produtivo
2108,Reconhecimento de esforço,Parabéns a todos pelo excelente resultado obtido no último trimestre.,Improdutivo
2109,Problema de acesso,Preciso confirmar se a entrega do projeto está dentro do prazo estipulado.,Produtivo
2110,Agradecimento,Parabéns a todos pelo excelente resultado obtido no último trimestre.,Improdutivo
2111,Ticket pendente,Poderiam me ajudar a gerar o relatório de vendas do último mês?,Produtivo
2112,Boas festas,Parabéns pelo aniversário! Que seja um dia especial.,Improdutivo
2113,Agendamento de reunião técnica,"O cliente retornou com mais informações, precisamos atualizar o chamado.",Produtivo
2114,Mensagem de boas-vindas,Desejo a todos um ótimo Natal e um próspero Ano Novo.,Improdutivo
2115,Problema de acesso,"Preciso de suporte para redefinir minha senha, não consigo entrar na plataforma.",Produtivo
2116,Agradecimento,Envio uma mensagem de motivação para mantermos a energia positiva.,Improdutivo
2117,Confirmação de entrega de projeto,"O cliente retornou com mais informações, precisamos atualizar o chamado.",Produtivo
2118,Reconhecimento de esforço,Reconhecemos o esforço da equipe e agradecemos pela dedicação.,Improdutivo
2119,Agendamento de reunião técnica,Preciso confirmar se a entrega do projeto está dentro do prazo estipulado.,Produtivo
2120,Agradecimento,Quero agradecer pelo apoio no projeto concluído semana passada.,Improdutivo
2121,Confirmação de entrega de projeto,"Preciso de suporte para redefinir minha senha, não consigo entrar na plataforma.",Produtivo
2122,Convite para confraternização,Reconhecemos o esforço da equipe e agradecemos pela dedicação.,Improdutivo
2123,Confirmação de entrega de projeto,"Segue em anexo a versão revisada do contrato, preciso de um retorno até sexta-feira.",Produtivo
2124,Boas festas,O trabalho do time foi fundamental para alcançarmos essa meta.,Improdutivo
2125,Ticket pendente,"Segue em anexo a versão revisada do contrato, preciso de um retorno até sexta-feira.",Produtivo
2126,Convite para confraternização,Desejo a todos um ótimo Natal e um próspero Ano Novo.,Improdutivo
2127,Ticket pendente,Preciso confirmar se a entrega do projeto está dentro do prazo estipulado.,Produtivo
2128,Boas festas,Desejo muito sucesso a todos nos próximos desafios.,Improdutivo
2129,Confirmação de entrega de projeto,"Há um problema na emissão de notas fiscais eletrônicas, poderiam verificar?",Produtivo
2130,Elogio ao time,Parabéns a todos pelo excelente resultado obtido no último trimestre.,Improdutivo
2131,Confirmação de entrega de projeto,Preciso confirmar se a entrega do projeto está dentro do prazo estipulado.,Produtivo
2132,Convite para confraternização,O trabalho do time foi fundamental para alcançarmos essa meta.,Improdutivo
2133,Atualização de contrato,Gostaria de agendar uma reunião técnica para discutir os próximos passos do projeto.,Produtivo
2134,Boas festas,Desejo a todos um ótimo Natal e um próspero Ano Novo.,Improdutivo
2135,Solicitação de relatório,Poderiam me ajudar a gerar o relatório de vendas do último mês?,Produtivo
2136,Convite para confraternização,Desejo muito sucesso a todos nos próximos desafios.,Improdutivo
2137,Solicitação de relatório,"Segue em anexo a versão revisada do contrato, preciso de um retorno até sexta-feira.",Produtivo
2138,Desejo de sucesso,"Seja bem-vindo à equipe, desejamos muito sucesso nessa nova jornada.",Improdutivo
2139,Problema de acesso,"Estou enfrentando dificuldade ao acessar o sistema, aparece erro 502. Podem verificar?",Produtivo
2140,Reconhecimento de esforço,Parabéns pelo aniversário! Que seja um dia especial.,Improdutivo
2141,Ticket pendente,Preciso confirmar se a entrega do projeto está dentro do prazo estipulado.,Produtivo
2142,Parabéns pelo trabalho,Quero agradecer pelo apoio no projeto concluído semana passada.,Improdutivo
2143,Confirmação de entrega de projeto,"O cliente retornou com mais informações, precisamos atualizar o chamado.",Produtivo
2144,Mensagem de boas-vindas,O trabalho do time foi fundamental para alcançarmos essa meta.,Improdutivo
2145,Confirmação de entrega de projeto,"O sistema está apresentando lentidão, principalmente no módulo financeiro.",Produtivo
2146,Boas festas,Quero agradecer pelo apoio no projeto concluído semana passada.,Improdutivo
2147,Atualização de contrato,"Há um problema na emissão de notas fiscais eletrônicas, poderiam verificar?",Produtivo
2148,Felicitações,Envio uma mensagem de motivação para mantermos a energia positiva.,Improdutivo
2149,Problema de acesso,Poderiam me ajudar a gerar o relatório de vendas do último mês?,Produtivo
2150,Agradecimento,"Seja bem-vindo à equipe, desejamos muito sucesso nessa nova jornada.",Improdutivo
2151,Ticket pendente,"Preciso de suporte para redefinir minha senha, não consigo entrar na plataforma.",Produtivo
2152,Parabéns pelo trabalho,"Estamos organizando uma confraternização na sexta-feira, sua presença será muito bem-vinda.",Improdutivo
2153,Dúvida sobre o sistema,Gostaria de agendar uma reunião técnica para discutir os próximos passos do projeto.,Produtivo
2154,Boas festas,O trabalho do time foi fundamental para alcançarmos essa meta.,Improdutivo
2155,Agendamento de reunião técnica,"Preciso de suporte para redefinir minha senha, não consigo entrar na plataforma.",Produtivo
2156,Boas festas,Parabéns a todos pelo excelente resultado obtido no último trimestre.,Improdutivo
2157,Dúvida sobre o sistema,Gostaria de agendar uma reunião técnica para discutir os próximos passos do projeto.,Produtivo
2158,Mensagem motivacional,O trabalho do time foi fundamental para alcançarmos essa meta.,Improdutivo
2159,Agendamento de reunião técnica,"Segue em anexo a versão revisada do contrato, preciso de um retorno até sexta-feira.",Produtivo
2160,Felicitações,Parabéns pelo aniversário! Que seja um dia especial.,Improdutivo
2161,Atualização de contrato,"Estou enfrentando dificuldade ao acessar o sistema, aparece erro 502. Podem verificar?",Produtivo
2162,Agradecimento,Desejo a todos um ótimo Natal e um próspero Ano Novo.,Improdutivo
2163,Solicitação de suporte,"Favor revisar os dados de cadastro, há divergências no endereço informado.",Produtivo
2164,Mensagem motivacional,Desejo a todos um ótimo Natal e um próspero Ano Novo.,Improdutivo
2165,Pedido de alteração cadastral,"Segue em anexo a versão revisada do contrato, preciso de um retorno até sexta-feira.",Produtivo
2166,Elogio ao time,Parabéns a todos pelo excelente resultado obtido no último trimestre.,Improdutivo
2167,Confirmação de entrega de projeto,"O sistema está apresentando lentidão, principalmente no módulo financeiro.",Produtivo
2168,Mensagem motivacional,Parabéns pelo aniversário! Que seja um dia especial.,Improdutivo
2169,Agendamento de reunião técnica,"Há um problema na emissão de notas fiscais eletrônicas, poderiam verificar?",Produtivo
2170,Elogio ao time,Desejo muito sucesso a todos nos próximos desafios.,Improdutivo
2171,Agendamento de reunião técnica,"Preciso de suporte para redefinir minha senha, não consigo entrar na plataforma.",Produtivo
2172,Reconhecimento de esforço,Parabéns a todos pelo excelente resultado obtido no último trimestre.,Improdutivo
2173,Solicitação de relatório,"Favor revisar os dados de cadastro, há divergências no endereço informado.",Produtivo
2174,Mensagem motivacional,Quero agradecer pelo apoio no projeto concluído semana passada.,Improdutivo
2175,Confirmação de entrega de projeto,"Favor revisar os dados de cadastro, há divergências no endereço informado.",Produtivo
2176,Mensagem de boas-vindas,Parabéns a todos pelo excelente resultado obtido no último trimestre.,Improdutivo
2177,Confirmação de entrega de projeto,"O sistema está apresentando lentidão, principalmente no módulo financeiro.",Produtivo
2178,Felicitações,Desejo a todos um ótimo Natal e um próspero Ano Novo.,Improdutivo
2179,Agendamento de reunião técnica,"O sistema está apresentando lentidão, principalmente no módulo financeiro.",Produtivo
2180,Boas festas,"Seja bem-vindo à equipe, desejamos muito sucesso nessa nova jornada.",Improdutivo
2181,Ticket pendente,"Favor revisar os dados de cadastro, há divergências no endereço informado.",Produtivo
2182,Parabéns pelo trabalho,Desejo muito sucesso a todos nos próximos desafios.,Improdutivo
2183,Ticket pendente,"Estou enfrentando dificuldade ao acessar o sistema, aparece erro 502. Podem verificar?",Produtivo
2184,Desejo de sucesso,Quero agradecer pelo apoio no projeto concluído semana passada.,Improdutivo
2185,Solicitação de suporte,"O sistema está apresentando lentidão, principalmente no módulo financeiro.",Produtivo
2186,Agradecimento,"Seja bem-vindo à equipe, desejamos muito sucesso nessa nova jornada.",Improdutivo
2187,Atualização de contrato,"Estou enfrentando dificuldade ao acessar o sistema, aparece erro 502. Podem verificar?",Produtivo
2188,Desejo de sucesso,Parabéns a todos pelo excelente resultado obtido no último trimestre.,Improdutivo
2189,Problema de acesso,Preciso confirmar se a entrega do projeto está dentro do prazo estipulado.,Produtivo
2190,Desejo de sucesso,O trabalho do time foi fundamental para alcançarmos essa meta.,Improdutivo
2191,Solicitação de suporte,"Estou enfrentando dificuldade ao acessar o sistema, aparece erro 502. Podem verificar?",Produtivo
2192,Agradecimento,Parabéns pelo aniversário! Que seja um dia especial.,Improdutivo
2193,Atualização de contrato,"O cliente retornou com mais informações, precisamos atualizar o chamado.",Produtivo
2194,Boas festas,Parabéns a todos pelo excelente resultado obtido no último trimestre.,Improdutivo
2195,Pedido de alteração cadastral,"Estou enfrentando dificuldade ao acessar o sistema, aparece erro 502. Podem verificar?",Produtivo
2196,Convite para confraternização,"Estamos organizando uma confraternização na sexta-feira, sua presença será muito bem-vinda.",Improdutivo
2197,Ticket pendente,"Estou enfrentando dificuldade ao acessar o sistema, aparece erro 502. Podem verificar?",Produtivo
2198,Parabéns pelo trabalho,"Estamos organizando uma confraternização na sexta-feira, sua presença será muito bem-vinda.",Improdutivo
2199,Dúvida sobre o sistema,Gostaria de agendar uma reunião técnica para discutir os próximos passos do projeto.,Produtivo
2200,Boas festas,O trabalho do time foi fundamental para alcançarmos essa meta.,Improdutivo
2201,Agendamento de reunião técnica,Preciso confirmar se a entrega do projeto está dentro do prazo estipulado.,Produtivo
2202,Agradecimento,"Estamos organizando uma confraternização na sexta-feira, sua presença será muito bem-vinda.",Improdutivo
2203,Atualização de contrato,Gostaria de agendar uma reunião técnica para discutir os próximos passos do projeto.,Produtivo
2204,Mensagem de boas-vindas,"Seja bem-vindo à equipe, desejamos muito sucesso nessa nova jornada.",Improdutivo
2205,Confirmação de entrega de projeto,Gostaria de agendar uma reunião técnica para discutir os próximos passos do projeto.,Produtivo
2206,Convite para confraternização,Parabéns pelo aniversário! Que seja um dia especial.,Improdutivo
2207,Confirmação de entrega de projeto,Preciso confirmar se a entrega do projeto está dentro do prazo estipulado.,Produtivo
2208,Boas festas,Desejo a todos um ótimo Natal e um próspero Ano Novo.,Improdutivo
2209,Confirmação de entrega de projeto,Preciso confirmar se a entrega do projeto está dentro do prazo estipulado.,Produtivo
2210,Boas festas,Desejo a todos um ótimo Natal e um próspero Ano Novo.,Improdutivo
2211,Ticket pendente,Gostaria de agendar uma reunião técnica para discutir os próximos passos do projeto.,Produtivo
2212,Felicitações,Desejo a todos um ótimo Natal e um próspero Ano Novo.,Improdutivo
2213,Confirmação de entrega de projeto,"Há um problema na emissão de notas fiscais eletrônicas, poderiam verificar?",Produtivo
2214,Convite para confraternização,Parabéns pelo aniversário! Que seja um dia especial.,Improdutivo
2215,Pedido de alteração cadastral,Preciso confirmar se a entrega do projeto está dentro do prazo estipulado.,Produtivo
2216,Parabéns pelo trabalho,Reconhecemos o esforço da equipe e agradecemos pela dedicação.,Improdutivo
2217,Agendamento de reunião técnica,"Há um problema na emissão de notas fiscais eletrônicas, poderiam verificar?",Produtivo
2218,Agradecimento,Parabéns a todos pelo excelente resultado obtido no último trimestre.,Improdutivo
2219,Solicitação de suporte,Preciso confirmar se a entrega do projeto está dentro do prazo estipulado.,Produtivo
2220,Desejo de sucesso,Desejo a todos um ótimo Natal e um próspero Ano Novo.,Improdutivo
2221,Confirmação de entrega de projeto,"O sistema está apresentando lentidão, principalmente no módulo financeiro.",Produtivo
2222,Convite para confraternização,Quero agradecer pelo apoio no projeto concluído semana passada.,Improdutivo
2223,Confirmação de entrega de projeto,"O cliente retornou com mais informações, precisamos atualizar o chamado.",Produtivo
2224,Convite para confraternização,Desejo a todos um ótimo Natal e um próspero Ano Novo.,Improdutivo
2225,Pedido de alteração cadastral,Poderiam me ajudar a gerar o relatório de vendas do último mês?,Produtivo
2226,Mensagem motivacional,"Seja bem-vindo à equipe, desejamos muito sucesso nessa nova jornada.",Improdutivo
2227,Atualização de contrato,"Segue em anexo a versão revisada do contrato, preciso de um retorno até sexta-feira.",Produtivo
2228,Mensagem motivacional,"Seja bem-vindo à equipe, desejamos muito sucesso nessa nova jornada.",Improdutivo
2229,Pedido de alteração cadastral,"O sistema está apresentando lentidão, principalmente no módulo financeiro.",Produtivo
2230,Desejo de sucesso,"Estamos organizando uma confraternização na sexta-feira, sua presença será muito bem-vinda.",Improdutivo
2231,Atualização de contrato,"Há um problema na emissão de notas fiscais eletrônicas, poderiam verificar?",Produtivo
2232,Mensagem de boas-vindas,Desejo a todos um ótimo Natal e um próspero Ano Novo.,Improdutivo
2233,Solicitação de suporte,"Estou enfrentando dificuldade ao acessar o sistema, aparece erro 502. Podem verificar?",Produtivo
2234,Desejo de sucesso,Reconhecemos o esforço da equipe e agradecemos pela dedicação.,Improdutivo
2235,Pedido de alteração cadastral,Preciso confirmar se a entrega do projeto está dentro do prazo estipulado.,Produtivo
2236,Boas festas,Desejo a todos um ótimo Natal e um próspero Ano Novo.,Improdutivo
2237,Atualização de contrato,"Estou enfrentando dificuldade ao acessar o sistema, aparece erro 502. Podem verificar?",Produtivo
2238,Felicitações,Desejo a todos um ótimo Natal e um próspero Ano Novo.,Improdutivo
2239,Problema de acesso,"Estou enfrentando dificuldade ao acessar o sistema, aparece erro 502. Podem verificar?",Produtivo
2240,Reconhecimento de esforço,Envio uma mensagem de motivação para mantermos a energia positiva.,Improdutivo
2241,Atualização de contrato,Poderiam me ajudar a gerar o relatório de vendas do último mês?,Produtivo
2242,Convite para confraternização,"Estamos organizando uma confraternização na sexta-feira, sua presença será muito bem-vinda.",Improdutivo
2243,Agendamento de reunião técnica,Gostaria de agendar uma reunião técnica para discutir os próximos passos do projeto.,Produtivo
2244,Agradecimento,"Seja bem-vindo à equipe, desejamos muito sucesso nessa nova jornada.",Improdutivo
2245,Solicitação de relatório,"O cliente retornou com mais informações, precisamos atualizar o chamado.",Produtivo
2246,Agradecimento,Envio uma mensagem de motivação para mantermos a energia positiva.,Improdutivo
2247,Erro no sistema,"Segue em anexo a versão revisada do contrato, preciso de um retorno até sexta-feira.",Produtivo
2248,Elogio ao time,Desejo a todos um ótimo Natal e um próspero Ano Novo.,Improdutivo
2249,Dúvida sobre o sistema,Gostaria de agendar uma reunião técnica para discutir os próximos passos do projeto.,Produtivo
2250,Parabéns pelo trabalho,Parabéns pelo aniversário! Que seja um dia especial.,Improdutivo
2251,Solicitação de relatório,Gostaria de agendar uma reunião técnica para discutir os próximos passos do projeto.,Produtivo
2252,Felicitações,Envio uma mensagem de motivação para mantermos a energia positiva.,Improdutivo
2253,Solicitação de suporte,"O cliente retornou com mais informações, precisamos atualizar o chamado.",Produtivo
2254,Agradecimento,"Seja bem-vindo à equipe, desejamos muito sucesso nessa nova jornada.",Improdutivo
2255,Erro no sistema,"Há um problema na emissão de notas fiscais eletrônicas, poderiam verificar?",Produtivo
2256,Boas festas,O trabalho do time foi fundamental para alcançarmos essa meta.,Improdutivo
2257,Confirmação de entrega de projeto,"Estou enfrentando dificuldade ao acessar o sistema, aparece erro 502. Podem verificar?",Produtivo
2258,Elogio ao time,Desejo muito sucesso a todos nos próximos desafios.,Improdutivo
2259,Dúvida sobre o sistema,"Favor revisar os dados de cadastro, há divergências no endereço informado.",Produtivo
2260,Mensagem de boas-vindas,Desejo muito sucesso a todos nos próximos desafios.,Improdutivo
2261,Solicitação de suporte,Poderiam me ajudar a gerar o relatório de vendas do último mês?,Produtivo
2262,Parabéns pelo trabalho,Parabéns a todos pelo excelente resultado obtido no último trimestre.,Improdutivo
2263,Pedido de alteração cadastral,"Preciso de suporte para redefinir minha senha, não consigo entrar na plataforma.",Produtivo
2264,Convite para confraternização,"Seja bem-vindo à equipe, desejamos muito sucesso nessa nova jornada.",Improdutivo
2265,Solicitação de relatório,"Estou enfrentando dificuldade ao acessar o sistema, aparece erro 502. Podem verificar?",Produtivo
2266,Boas festas,O trabalho do time foi fundamental para alcançarmos essa meta.,Improdutivo
2267,Ticket pendente,"Segue em anexo a versão revisada do contrato, preciso de um retorno até sexta-feira.",Produtivo
2268,Parabéns pelo trabalho,Reconhecemos o esforço da equipe e agradecemos pela dedicação.,Improdutivo
2269,Atualização de contrato,"Favor revisar os dados de cadastro, há divergências no endereço informado.",Produtivo
2270,Mensagem motivacional,"Estamos organizando uma confraternização na sexta-feira, sua presença será muito bem-vinda.",Improdutivo
2271,Pedido de alteração cadastral,"Estou enfrentando dificuldade ao acessar o sistema, aparece erro 502. Podem verificar?",Produtivo
2272,Parabéns pelo trabalho,Parabéns a todos pelo excelente resultado obtido no último trimestre.,Improdutivo
2273,Agendamento de reunião técnica,Gostaria de agendar uma reunião técnica para discutir os próximos passos do projeto.,Produtivo
2274,Parabéns pelo trabalho,Parabéns a todos pelo excelente resultado obtido no último trimestre.,Improdutivo
2275,Solicitação de relatório,"Estou enfrentando dificuldade ao acessar o sistema, aparece erro 502. Podem verificar?",Produtivo
2276,Convite para confraternização,Reconhecemos o esforço da equipe e agradecemos pela dedicação.,Improdutivo
2277,Dúvida sobre o sistema,"Favor revisar os dados de cadastro, há divergências no endereço informado.",Produtivo
2278,Agradecimento,"Seja bem-vindo à equipe, desejamos muito sucesso nessa nova jornada.",Improdutivo
2279,Agendamento de reunião técnica,"Há um problema na emissão de notas fiscais eletrônicas, poderiam verificar?",Produtivo
2280,Convite para confraternização,"Estamos organizando uma confraternização na sexta-feira, sua presença será muito bem-vinda.",Improdutivo
2281,Agendamento de reunião técnica,"Há um problema na emissão de notas fiscais eletrônicas, poderiam verificar?",Produtivo
2282,Boas festas,Desejo a todos um ótimo Natal e um próspero Ano Novo.,Improdutivo
2283,Confirmação de entrega de projeto,Gostaria de agendar uma reunião técnica para discutir os próximos passos do projeto.,Produtivo
2284,Elogio ao time,Desejo a todos um ótimo Natal e um próspero Ano Novo.,Improdutivo
2285,Pedido de alteração cadastral,"Estou enfrentando dificuldade ao acessar o sistema, aparece erro 502. Podem verificar?",Produtivo
2286,Parabéns pelo trabalho,"Seja bem-vindo à equipe, desejamos muito sucesso nessa nova jornada.",Improdutivo
2287,Ticket pendente,Gostaria de agendar uma reunião técnica para discutir os próximos passos do projeto.,Produtivo
2288,Agradecimento,Quero agradecer pelo apoio no projeto concluído semana passada.,Improdutivo
2289,Solicitação de suporte,Preciso confirmar se a entrega do projeto está dentro do prazo estipulado.,Produtivo
2290,Felicitações,Reconhecemos o esforço da equipe e agradecemos pela dedicação.,Improdutivo
2291,Confirmação de entrega de projeto,Preciso confirmar se a entrega do projeto está dentro do prazo estipulado.,Produtivo
2292,Convite para confraternização,Parabéns a todos pelo excelente resultado obtido no último trimestre.,Improdutivo
2293,Solicitação de relatório,Gostaria de agendar uma reunião técnica para discutir os próximos passos do projeto.,Produtivo
2294,Boas festas,"Seja bem-vindo à equipe, desejamos muito sucesso nessa nova jornada.",Improdutivo
2295,Dúvida sobre o sistema,Preciso confirmar se a entrega do projeto está dentro do prazo estipulado.,Produtivo
2296,Desejo de sucesso,O trabalho do time foi fundamental para alcançarmos essa meta.,Improdutivo
2297,Ticket pendente,"Favor revisar os dados de cadastro, há divergências no endereço informado.",Produtivo
2298,Reconhecimento de esforço,"Estamos organizando uma confraternização na sexta-feira, sua presença será muito bem-vinda.",Improdutivo
2299,Solicitação de suporte,"Favor revisar os dados de cadastro, há divergências no endereço informado.",Produtivo
2300,Felicitações,O trabalho do time foi fundamental para alcançarmos essa meta.,Improdutivo
2301,Problema de acesso,"Preciso de suporte para redefinir minha senha, não consigo entrar na plataforma.",Produtivo
2302,Felicitações,Quero agradecer pelo apoio no projeto concluído semana passada.,Improdutivo
2303,Erro no sistema,Preciso confirmar se a entrega do projeto está dentro do prazo estipulado.,Produtivo
2304,Agradecimento,"Estamos organizando uma confraternização na sexta-feira, sua presença será muito bem-vinda.",Improdutivo
2305,Confirmação de entrega de projeto,"Preciso de suporte para redefinir minha senha, não consigo entrar na plataforma.",Produtivo
2306,Desejo de sucesso,Parabéns pelo aniversário! Que seja um dia especial.,Improdutivo
2307,Agendamento de reunião técnica,"Há um problema na emissão de notas fiscais eletrônicas, poderiam verificar?",Produtivo
2308,Mensagem motivacional,Desejo muito sucesso a todos nos próximos desafios.,Improdutivo
2309,Pedido de alteração cadastral,"Segue em anexo a versão revisada do contrato, preciso de um retorno até sexta-feira.",Produtivo
2310,Felicitações,Desejo muito sucesso a todos nos próximos desafios.,Improdutivo
2311,Solicitação de suporte,Preciso confirmar se a entrega do projeto está dentro do prazo estipulado.,Produtivo
2312,Convite para confraternização,Reconhecemos o esforço da equipe e agradecemos pela dedicação.,Improdutivo
2313,Problema de acesso,Gostaria de agendar uma reunião técnica para discutir os próximos passos do projeto.,Produtivo
2314,Boas festas,O trabalho do time foi fundamental para alcançarmos essa meta.,Improdutivo
2315,Ticket pendente,"Segue em anexo a versão revisada do contrato, preciso de um retorno até sexta-feira.",Produtivo
2316,Felicitações,Desejo muito sucesso a todos nos próximos desafios.,Improdutivo
2317,Solicitação de suporte,"O sistema está apresentando lentidão, principalmente no módulo financeiro.",Produtivo
2318,Felicitações,Parabéns pelo aniversário! Que seja um dia especial.,Improdutivo
2319,Pedido de alteração cadastral,Poderiam me ajudar a gerar o relatório de vendas do último mês?,Produtivo
2320,Mensagem de boas-vindas,Quero agradecer pelo apoio no projeto concluído semana passada.,Improdutivo
2321,Confirmação de entrega de projeto,"Preciso de suporte para redefinir minha senha, não consigo entrar na plataforma.",Produtivo
2322,Boas festas,Parabéns a todos pelo excelente resultado obtido no último trimestre.,Improdutivo
2323,Confirmação de entrega de projeto,"Estou enfrentando dificuldade ao acessar o sistema, aparece erro 502. Podem verificar?",Produtivo
2324,Boas festas,Quero agradecer pelo apoio no projeto concluído semana passada.,Improdutivo
2325,Erro no sistema,Poderiam me ajudar a gerar o relatório de vendas do último mês?,Produtivo
2326,Agradecimento,Parabéns a todos pelo excelente resultado obtido no último trimestre.,Improdutivo
2327,Atualização de contrato,Poderiam me ajudar a gerar o relatório de vendas do último mês?,Produtivo
2328,Convite para confraternização,Parabéns a todos pelo excelente resultado obtido no último trimestre.,Improdutivo
2329,Problema de acesso,Poderiam me ajudar a gerar o relatório de vendas do último mês?,Produtivo
2330,Reconhecimento de esforço,O trabalho do time foi fundamental para alcançarmos essa meta.,Improdutivo
2331,Erro no sistema,"Favor revisar os dados de cadastro, há divergências no endereço informado.",Produtivo
2332,Felicitações,"Estamos organizando uma confraternização na sexta-feira, sua presença será muito bem-vinda.",Improdutivo
2333,Ticket pendente,"Favor revisar os dados de cadastro, há divergências no endereço informado.",Produtivo
2334,Mensagem motivacional,Parabéns a todos pelo excelente resultado obtido no último trimestre.,Improdutivo
2335,Confirmação de entrega de projeto,Poderiam me ajudar a gerar o relatório de vendas do último mês?,Produtivo
2336,Elogio ao time,"Seja bem-vindo à equipe, desejamos muito sucesso nessa nova jornada.",Improdutivo
2337,Agendamento de reunião técnica,"Favor revisar os dados de cadastro, há divergências no endereço informado.",Produtivo
2338,Felicitações,Desejo muito sucesso a todos nos próximos desafios.,Improdutivo
2339,Pedido de alteração cadastral,"O cliente retornou com mais informações, precisamos atualizar o chamado.",Produtivo
2340,Mensagem motivacional,Desejo a todos um ótimo Natal e um próspero Ano Novo.,Improdutivo
2341,Pedido de alteração cadastral,"Favor revisar os dados de cadastro, há divergências no endereço informado.",Produtivo
2342,Parabéns pelo trabalho,Reconhecemos o esforço da equipe e agradecemos pela dedicação.,Improdutivo
2343,Solicitação de suporte,"Favor revisar os dados de cadastro, há divergências no endereço informado.",Produtivo
2344,Reconhecimento de esforço,Envio uma mensagem de motivação para mantermos a energia positiva.,Improdutivo
2345,Solicitação de relatório,"Preciso de suporte para redefinir minha senha, não consigo entrar na plataforma.",Produtivo
2346,Mensagem de boas-vindas,"Seja bem-vindo à equipe, desejamos muito sucesso nessa nova jornada.",Improdutivo
2347,Erro no sistema,"Há um problema na emissão de notas fiscais eletrônicas, poderiam verificar?",Produtivo
2348,Desejo de sucesso,Desejo a todos um ótimo Natal e um próspero Ano Novo.,Improdutivo
2349,Problema de acesso,Gostaria de agendar uma reunião técnica para discutir os próximos passos do projeto.,Produtivo
2350,Mensagem de boas-vindas,Parabéns pelo aniversário! Que seja um dia especial.,Improdutivo
2351,Pedido de alteração cadastral,Gostaria de agendar uma reunião técnica para discutir os próximos passos do projeto.,Produtivo
2352,Mensagem motivacional,Desejo muito sucesso a todos nos próximos desafios.,Improdutivo
2353,Solicitação de relatório,"Há um problema na emissão de notas fiscais eletrônicas, poderiam verificar?",Produtivo
2354,Convite para confraternização,"Seja bem-vindo à equipe, desejamos muito sucesso nessa nova jornada.",Improdutivo
2355,Agendamento de reunião técnica,"Segue em anexo a versão revisada do contrato, preciso de um retorno até sexta-feira.",Produtivo
2356,Mensagem motivacional,Parabéns a todos pelo excelente resultado obtido no último trimestre.,Improdutivo
2357,Solicitação de relatório,Preciso confirmar se a entrega do projeto está dentro do prazo estipulado.,Produtivo
2358,Convite para confraternização,Quero agradecer pelo apoio no projeto concluído semana passada.,Improdutivo
2359,Pedido de alteração cadastral,"O cliente retornou com mais informações, precisamos atualizar o chamado.",Produtivo
2360,Convite para confraternização,Envio uma mensagem de motivação para mantermos a energia positiva.,Improdutivo
2361,Ticket pendente,"Favor revisar os dados de cadastro, há divergências no endereço informado.",Produtivo
2362,Felicitações,"Estamos organizando uma confraternização na sexta-feira, sua presença será muito bem-vinda.",Improdutivo
2363,Ticket pendente,"O sistema está apresentando lentidão, principalmente no módulo financeiro.",Produtivo
2364,Felicitações,"Seja bem-vindo à equipe, desejamos muito sucesso nessa nova jornada.",Improdutivo
2365,Ticket pendente,"Preciso de suporte para redefinir minha senha, não consigo entrar na plataforma.",Produtivo
2366,Mensagem de boas-vindas,Parabéns pelo aniversário! Que seja um dia especial.,Improdutivo
2367,Solicitação de relatório,"Preciso de suporte para redefinir minha senha, não consigo entrar na plataforma.",Produtivo
2368,Reconhecimento de esforço,Envio uma mensagem de motivação para mantermos a energia positiva.,Improdutivo
2369,Agendamento de reunião técnica,Preciso confirmar se a entrega do projeto está dentro do prazo estipulado.,Produtivo
2370,Felicitações,Parabéns a todos pelo excelente resultado obtido no último trimestre.,Improdutivo
2371,Agendamento de reunião técnica,"O sistema está apresentando lentidão, principalmente no módulo financeiro.",Produtivo
2372,Parabéns pelo trabalho,"Estamos organizando uma confraternização na sexta-feira, sua presença será muito bem-vinda.",Improdutivo
2373,Agendamento de reunião técnica,Poderiam me ajudar a gerar o relatório de vendas do último mês?,Produtivo
2374,Agradecimento,Reconhecemos o esforço da equipe e agradecemos pela dedicação.,Improdutivo
2375,Solicitação de relatório,"Preciso de suporte para redefinir minha senha, não consigo entrar na plataforma.",Produtivo
